plotID,siteID,year,Canopy_Ht,Max_Ht,Rumple,Rugosity,Deep_Gap,Vert_SD,Vert_CV,Gini,VCI,FHD,LAI,Q95,Ht_Ratio,NDVI,EVI,ARVI,SAVI
BONA_088,BONA,2021,8.315857887268066,10.794198989868164,1.6787022352218628,3.439234972000122,0.24144098162651062,2.4694550037384033,0.3449632525444031,0.18817897140979767,0.6149402856826782,1.2505223751068115,1.4155704975128174,11.04895305633545,67.00281524658203,,,,
BONA_089,BONA,2021,7.542132377624512,9.955957412719727,1.7379474639892578,3.2952022552490234,0.26938730478286743,2.4626426696777344,0.3857331871986389,0.20937712490558624,0.6100481748580933,1.1414613723754883,1.1981465816497803,10.283051490783691,70.09014129638672,,,,
BONA_085,BONA,2021,2.323869466781616,2.7484588623046875,2.0068697929382324,0.9803404808044434,0.5425384044647217,0.8441296219825745,0.3483065068721771,0.2067665010690689,0.681998074054718,0.7662883400917053,0.38704684376716614,3.3336572647094727,99.97435760498047,,,,
BONA_083,BONA,2021,2.124070882797241,1.7565916776657104,2.021780252456665,0.6406436562538147,0.6805250644683838,0.7418012619018555,0.3220406174659729,0.19899751245975494,0.6297983527183533,0.7592530250549316,0.3549852967262268,2.9343910217285156,99.80293273925781,,,,
BONA_074,BONA,2021,2.1185622215270996,2.08571720123291,2.0193967819213867,0.7447994351387024,0.6299763321876526,0.7568488717079163,0.3343523442745209,0.2015325129032135,0.6697039604187012,0.760337233543396,0.35255274176597595,2.9957549571990967,99.94944763183594,,,,
BONA_081,BONA,2021,2.365553379058838,2.4306235313415527,2.01841139793396,0.8578796982765198,0.6026769876480103,0.8541611433029175,0.3411966860294342,0.20289286971092224,0.6690594553947449,0.8189212679862976,0.43968597054481506,3.3923263549804688,99.90509796142578,,,,
BONA_077,BONA,2021,1.9574048519134521,2.0665462017059326,2.017634630203247,0.7296486496925354,0.6164527535438538,0.6968897581100464,0.3288900852203369,0.19760705530643463,0.6842336058616638,0.8022274971008301,0.32290157675743103,2.7897374629974365,99.85791778564453,,,,
BONA_073,BONA,2021,2.004441976547241,1.6980124711990356,1.9816138744354248,0.5714834928512573,0.6763091087341309,0.6849146485328674,0.32559001445770264,0.19410055875778198,0.6639034748077393,0.864707887172699,0.3632842004299164,2.8355791568756104,99.86163330078125,,,,
BONA_014,BONA,2021,8.603915214538574,10.322996139526367,1.719053864479065,3.4256911277770996,0.29948899149894714,2.4179086685180664,0.3222370445728302,0.18000884354114532,0.5931801795959473,1.2386035919189453,1.3720327615737915,11.19901180267334,67.1915054321289,,,,
BONA_011,BONA,2021,2.4226369857788086,2.935014009475708,1.9527819156646729,0.9698440432548523,0.5265395641326904,0.9979302287101746,0.3804561495780945,0.2235569953918457,0.762622058391571,0.9636939167976379,0.5845576524734497,3.7502548694610596,99.97798156738281,,,,
