plotID,rich_after,rich_before,q1_after,q1_before,q2_after,q2_before,cov_after,cov_before,nyr_after,nyr_before,drich,dq1,dq2,impact,severity,recency
GRSM_064,21.0,13.0,10.598683947239326,7.880477384495069,6.9939956768873595,5.885952712100139,0.992822966507177,0.9567593252554051,4.0,1.0,8.0,2.7182065627442578,1.10804296478722,1,0.0,9.0
GRSM_065,14.0,15.0,9.11577794356213,8.610560834281808,7.296991929567131,6.533101045296166,1.0,0.9214159292035398,4.0,1.0,-1.0,0.5052171092803217,0.7638908842709649,1,0.0,9.0
GRSM_066,16.0,17.0,11.79070488455396,13.08822385795116,8.977825982164378,10.245901639344261,1.0,0.8816107382550336,4.0,1.0,-1.0,-1.2975189733971995,-1.2680756571798835,1,0.0,9.0
HARV_001,4.0,5.0,3.6441467815544297,2.797794140985823,3.389483933787731,2.4048640915593706,1.0,0.9951219512195122,2.0,2.0,-1.0,0.8463526405686066,0.9846198422283603,0,0.0,
HARV_002,7.0,8.0,4.436594107496937,6.003605076979697,3.6313823163138226,4.7423887587822025,0.9909106354060483,0.978743961352657,2.0,1.0,-1.0,-1.5670109694827596,-1.1110064424683799,0,0.0,
HARV_004,7.0,8.0,4.255675826797732,3.0956722139683475,2.9975031210986267,1.9859387923904053,1.0,0.9192089206816747,2.0,1.0,-1.0,1.1600036128293842,1.0115643287082214,1,0.1883953831322015,8.0
HARV_005,4.0,10.0,3.450882587409375,5.425248576929467,3.0556438791732914,4.296690536094445,1.0,0.9935500740869868,2.0,2.0,-6.0,-1.9743659895200918,-1.2410466569211538,1,0.177093910935678,8.0
HARV_006,6.0,5.0,3.9745033783056583,3.3817410308620697,3.1863285556780596,2.9257142857142857,1.0,1.0,2.0,2.0,1.0,0.5927623474435886,0.2606142699637739,0,0.0,
HARV_008,6.0,5.0,2.1304497253937944,2.897394433950457,1.4950252343186732,2.075490522115065,0.9930555555555556,1.0,2.0,1.0,1.0,-0.7669447085566627,-0.5804652877963916,0,0.0,
HARV_010,6.0,6.0,3.753703939035186,3.8340773003382305,3.0052707235265936,3.0402010050251262,1.0,0.9824675324675325,2.0,1.0,0.0,-0.08037336130304462,-0.03493028149853261,0,0.0,
HARV_011,11.0,12.0,7.91114369722537,8.821036850544994,6.268735806207418,7.170370370370368,1.0,0.9111570247933884,2.0,1.0,-1.0,-0.909893153319624,-0.9016345641629506,0,0.0,
HARV_012,5.0,5.0,2.2563710911095867,2.760032331680684,1.780793052806334,2.0949484263422375,0.9940832620473339,1.0,2.0,1.0,0.0,-0.5036612405710974,-0.3141553735359035,0,0.0,
HARV_013,7.0,6.0,3.341158488693809,1.6632021624034858,2.186556259132976,1.251483142815801,1.0,0.9899056396752249,2.0,2.0,1.0,1.6779563262903232,0.9350731163171748,0,0.0,
HARV_014,5.0,5.0,1.9913426341461817,2.411511996373459,1.4697943097770336,1.7620666213460228,0.9939393939393939,0.9861111111111112,2.0,1.0,0.0,-0.4201693622272771,-0.29227231156898914,0,0.0,
HARV_016,11.0,11.0,6.028115805488002,6.286161037689633,4.782675237220692,4.515624999999999,0.9761283422459893,0.9567431850789097,2.0,1.0,0.0,-0.25804523220163045,0.2670502372206931,0,0.0,
HARV_021,5.0,3.0,3.070412032217539,1.5637934804112734,2.5902964959568733,1.2966751918158568,0.9375650364203955,0.9743589743589743,2.0,1.0,2.0,1.5066185518062656,1.2936213041410165,0,0.0,
HARV_022,10.0,11.0,4.758049016745031,4.287279599058964,3.29155255951127,3.0609278926774732,0.99225,0.9867567567567568,2.0,2.0,-1.0,0.47076941768606684,0.2306246668337968,0,0.0,
HARV_023,5.0,6.0,2.3059869200847327,1.5968985434313825,1.7080376998835116,1.2418026167016636,1.0,0.9758064516129032,2.0,1.0,-1.0,0.7090883766533502,0.46623508318184803,0,0.0,
HARV_025,9.0,9.0,6.585561777795495,6.5597890905343155,5.2614274258219735,5.065753424657534,1.0,0.9787664307381193,2.0,1.0,0.0,0.025772687261179428,0.19567400116443956,0,0.0,
HARV_026,10.0,9.0,2.46715189974785,3.294956259688105,1.5554246440844381,1.9615181866104374,0.988889586341096,0.9687743950039032,2.0,1.0,1.0,-0.8278043599402549,-0.4060935425259993,0,0.0,
HARV_027,8.0,8.0,5.0182388532845055,5.96383855251416,4.073966642494561,5.265182186234817,0.9909122381859097,0.9903864458404721,2.0,2.0,0.0,-0.9455996992296543,-1.191215543740256,0,0.0,
HARV_033,11.0,11.0,6.41229429771195,6.81359395094858,5.5264531453887695,5.847964957108961,0.9988109393579072,0.9889509621353196,9.0,2.0,0.0,-0.40129965323662997,-0.3215118117201916,0,0.0,
HARV_034,10.0,10.0,5.5060571499972255,5.141122006302791,4.618926680278206,4.061281337047354,0.9986595174262735,1.0,9.0,2.0,0.0,0.36493514369443414,0.5576453432308526,0,0.0,
HARV_035,9.0,9.0,3.202315774825104,3.1935141968812593,2.268544985496722,2.178958741846412,0.9986357435197817,1.0,5.0,2.0,0.0,0.00880157794384484,0.08958624365030987,0,0.0,
HARV_036,11.0,10.0,6.404913916360609,6.0944037009553975,4.768395879323032,4.624045331362405,1.0,1.0,5.0,2.0,1.0,0.31051021540521173,0.1443505479606273,0,0.0,
HARV_037,5.0,5.0,2.5473290301995446,2.4819526799567346,1.9186822620452837,1.8628680174633379,1.0,1.0,5.0,2.0,0.0,0.06537635024280997,0.05581424458194584,0,0.0,
HARV_038,9.0,10.0,4.758416058431708,5.20602373018104,3.748334387005787,4.090450005611041,1.0,0.9963505630172297,8.0,2.0,-1.0,-0.44760767174933225,-0.3421156186052543,0,0.0,
HARV_039,9.0,9.0,5.203020744505255,5.944831989442756,4.237768559539915,4.876697813312783,1.0,1.0,8.0,2.0,0.0,-0.7418112449375007,-0.6389292537728686,0,0.0,
HARV_040,7.0,9.0,4.225176438345907,5.434481946607351,3.5109032375630203,4.308131868131868,1.0,0.9902951079421668,8.0,2.0,-2.0,-1.2093055082614432,-0.7972286305688479,0,0.0,
HARV_041,11.0,13.0,3.9389819465372486,5.041721120186484,2.4173685587235156,3.3335274421313144,1.0,1.0,4.0,2.0,-2.0,-1.1027391736492351,-0.9161588834077987,0,0.0,
HARV_042,8.0,10.0,5.731976975274,6.121488873451472,5.072977800459301,5.428099537546795,1.0,0.9939412769923878,4.0,2.0,-2.0,-0.38951189817747256,-0.3551217370874937,0,0.0,
HARV_043,9.0,7.0,2.545103927598596,2.3750698180772267,1.6671140135402314,1.5995066857068674,0.9946380697050938,1.0,4.0,2.0,2.0,0.1700341095213691,0.06760732783336398,0,0.0,
HARV_044,11.0,13.0,4.484233287535314,6.987630854770573,2.910215134647209,4.3397801033249435,0.9968255268601388,1.0,4.0,2.0,-2.0,-2.5033975672352584,-1.4295649686777345,0,0.0,
HARV_045,9.0,9.0,6.542724136779074,6.192078824185874,5.385602409638554,5.053728368216,1.0,1.0,4.0,2.0,0.0,0.3506453125932003,0.3318740414225534,0,0.0,
HARV_046,7.0,11.0,4.466557046249261,6.494768610202325,3.5225720914816034,4.761256287572078,1.0,0.9949751320309695,4.0,2.0,-4.0,-2.0282115639530636,-1.2386841960904742,0,0.0,
HARV_047,11.0,12.0,5.220740553269048,5.468666872401025,3.8731819249462487,4.000368432687348,1.0,1.0,4.0,2.0,-1.0,-0.24792631913197738,-0.1271865077410994,0,0.0,
HARV_048,9.0,10.0,3.1194364570824096,3.318074502881694,2.153866768448663,2.201808029779314,0.9980582524271845,0.9963900833466051,4.0,2.0,-1.0,-0.19863804579928424,-0.047941261330650686,0,0.0,
