plotID,fire,fire_year,fire_type,n_fires
SOAP_011,0,0,,0
SOAP_012,1,2020,Wildfire,1
SOAP_013,1,2020,Wildfire,1
SOAP_015,0,0,,0
SOAP_016,0,0,,0
SOAP_017,0,0,,0
SOAP_018,0,0,,0
SOAP_019,0,0,,0
SOAP_020,0,0,,0
SOAP_021,0,0,,0
SOAP_022,0,0,,0
SOAP_024,1,2020,Wildfire,1
SOAP_031,0,0,,0
SOAP_043,1,2020,Wildfire,1
SOAP_044,1,2020,Wildfire,1
SOAP_045,0,0,,0
SOAP_046,1,2020,Wildfire,1
SOAP_047,0,0,,0
SOAP_048,0,0,,0
SOAP_049,0,0,,0
SOAP_050,1,2020,Wildfire,1
SOAP_051,1,2020,Wildfire,1
SOAP_052,1,2020,Wildfire,1
SOAP_053,0,0,,0
SOAP_054,0,0,,0
SOAP_055,1,2020,Wildfire,1
SOAP_056,0,0,,0
SOAP_057,0,0,,0
SOAP_058,1,2020,Wildfire,1
SOAP_059,1,2020,Wildfire,1
SOAP_060,1,2020,Wildfire,1
SOAP_061,0,0,,0
STEI_001,0,0,,0
STEI_002,0,0,,0
STEI_003,0,0,,0
STEI_004,0,0,,0
STEI_005,0,0,,0
STEI_006,0,0,,0
STEI_007,0,0,,0
STEI_008,0,0,,0
STEI_009,0,0,,0
STEI_010,0,0,,0
STEI_011,0,0,,0
STEI_012,0,0,,0
STEI_013,0,0,,0
STEI_014,0,0,,0
STEI_015,0,0,,0
STEI_016,0,0,,0
STEI_017,0,0,,0
STEI_019,0,0,,0
STEI_021,1,1987,Wildfire,1
STEI_022,0,0,,0
STEI_023,0,0,,0
STEI_046,0,0,,0
STEI_047,0,0,,0
STEI_048,0,0,,0
STEI_049,0,0,,0
STEI_050,0,0,,0
STEI_051,0,0,,0
STEI_052,0,0,,0
STEI_053,0,0,,0
STEI_054,0,0,,0
STEI_055,0,0,,0
STEI_056,0,0,,0
STEI_057,0,0,,0
STEI_058,0,0,,0
STEI_059,0,0,,0
STEI_060,0,0,,0
