plotID,insitu_mortdmg_max,insitu_peak_year,insitu_spike,insitu_burn,insitu_insect,insitu_dead_max,insitu_dist,neon_event,neon_event_year,neon_event_type,remark_year,remark,remote_dist,remote_year,remote_sev,d_fire,d_loss,d_spec,neon_dist,neon_dist_year,neon_severity,neon_dist_type,disturbed,dist_year,severity,recency
BART_040,0.574712643678161,2025.0,0.3115547489413189,0.0,0.050632911392405,0.1168831168831168,1,0,,,,0,0,,0.0,0.0,0.0,0.0,1,2025.0,0.574712643678161,insect,1,2025.0,0.574712643678161,0.0
BART_041,0.75,2017.0,0.366822429906542,0.0,0.0348837209302325,0.1323529411764706,1,0,,,,0,0,,0.0,0.0,0.0,0.0,1,2017.0,0.75,insect,1,2017.0,0.75,8.0
BART_042,0.5775862068965517,2021.0,0.4684952978056426,0.0,0.0238095238095238,0.1570247933884297,1,0,,,,0,0,,0.0,0.0,0.0,0.0,1,2021.0,0.5775862068965517,insect,1,2021.0,0.5775862068965517,4.0
BART_044,0.6129032258064516,2017.0,0.1054405392392874,0.0,0.0067567567567567,0.1419354838709677,1,0,,,,0,0,,0.0,0.0,0.0,0.0,0,2017.0,0.6129032258064516,insect,0,,0.6129032258064516,
BART_046,0.7880184331797235,2018.0,0.5940790392403296,0.0,0.0,0.0765765765765765,1,0,,,,0,0,,0.0,0.0,0.0,0.0,1,2018.0,0.7880184331797235,mortality,1,2018.0,0.7880184331797235,7.0
BART_047,0.7488584474885844,2019.0,0.3291693283176,0.0,0.0182648401826484,0.091743119266055,1,0,,,,0,0,,0.0,0.0,0.0,0.0,1,2019.0,0.7488584474885844,insect,1,2019.0,0.7488584474885844,6.0
BART_050,0.3179190751445087,2018.0,0.2562752395280703,0.0,0.0058823529411764,0.1098265895953757,1,0,,,,0,0,,0.0,0.0,0.0,0.0,0,2018.0,0.3179190751445087,insect,0,,0.3179190751445087,
BART_051,0.3307086614173228,2016.0,0.0992271799358413,0.0,0.0067567567567567,0.0708661417322834,0,0,,,,0,0,,0.0,0.0,0.0,0.0,0,2016.0,0.3307086614173228,insect,0,,0.3307086614173228,
BART_062,,,0.0,,,,0,1,2020.0,harvest,,0,0,,,,,,1,2020.0,0.0,harvest,1,2020.0,0.0,5.0
BART_070,0.4502923976608187,2019.0,0.0908152734778121,0.0,0.0058479532163742,0.1176470588235294,1,0,,,,0,0,,0.0,0.0,0.0,0.0,0,2019.0,0.4502923976608187,insect,0,,0.4502923976608187,
BART_071,0.7798742138364779,2025.0,0.5756488617238018,0.0,0.0062893081761006,0.0845070422535211,1,0,,,,0,0,,0.0,0.0,0.0,0.0,1,2025.0,0.7798742138364779,insect,1,2025.0,0.7798742138364779,0.0
BART_072,0.5909090909090908,2018.0,0.1210295728368016,0.0,0.0,0.0760869565217391,1,0,,,,0,0,,0.0,0.0,0.0,0.0,0,2018.0,0.5909090909090908,mortality,0,,0.5909090909090908,
BART_073,0.7166666666666666,2025.0,0.3897435897435896,0.0,0.008695652173913,0.1176470588235294,1,0,,,,0,0,,0.0,0.0,0.0,0.0,1,2025.0,0.7166666666666666,insect,1,2025.0,0.7166666666666666,0.0
BART_074,0.775,2016.0,0.3102112676056338,0.0,0.0,0.073170731707317,1,0,,,,0,0,,0.0,0.0,0.0,0.0,1,2016.0,0.775,mortality,1,2016.0,0.775,9.0
BART_075,0.5091743119266054,2019.0,0.2591743119266054,0.0,0.0091743119266055,0.1216216216216216,1,0,,,,0,0,,0.0,0.0,0.0,0.0,0,2019.0,0.5091743119266054,insect,0,,0.5091743119266054,
BLAN_001,0.1594202898550724,2019.0,0.0804729214340198,0.0,0.0,0.0789473684210526,0,0,,,,0,0,,0.0,0.0,0.0,0.0,0,2019.0,0.1594202898550724,mortality,0,,0.1594202898550724,
BLAN_003,,,0.0,,,,0,1,2025.0,harvest,,0,0,,0.0,0.0,0.0,0.0,1,2025.0,0.0,harvest,1,2025.0,0.0,0.0
BLAN_004,,,0.0,,,,0,1,2024.0,harvest,,0,1,2024.0,0.2648675486677352,0.0,0.0,1.0,1,2024.0,0.0,harvest,1,2024.0,0.0,1.0
