siteID,plotID,year,grain_m,n_cells,source,NDVI_mean,NDVI_sd,EVI_mean,EVI_sd,ARVI_mean,ARVI_sd,SAVI_mean,SAVI_sd
ABBY,ABBY_075,2023,10,16,NEON_DP3.30026.002_bidirectional,0.9220743775367737,0.012231813743710518,0.5886918306350708,0.08112341910600662,0.9157678484916687,0.01944335736334324,0.5467157959938049,0.06601490080356598
ABBY,ABBY_074,2023,10,16,NEON_DP3.30026.002_bidirectional,0.9234291911125183,0.009837601333856583,0.6302201151847839,0.0513903833925724,0.9187000393867493,0.01577298529446125,0.5774973630905151,0.04065857455134392
ABBY,ABBY_073,2023,10,16,NEON_DP3.30026.002_bidirectional,0.9289038777351379,0.01706457883119583,0.5722264647483826,0.10536845028400421,0.9298403859138489,0.026923425495624542,0.530615508556366,0.08503147959709167
ABBY,ABBY_076,2023,10,16,NEON_DP3.30026.002_bidirectional,0.9141647219657898,0.007845078594982624,0.6690084934234619,0.03548984229564667,0.9037740230560303,0.013705048710107803,0.6056278944015503,0.027081362903118134
ABBY,ABBY_004,2023,10,16,NEON_DP3.30026.002_bidirectional,0.8897400498390198,0.03193345293402672,0.6965627074241638,0.060036562383174896,0.8736125230789185,0.04289978742599487,0.6220421195030212,0.045643001794815063
ABBY,ABBY_009,2023,10,16,NEON_DP3.30026.002_bidirectional,0.8979001045227051,0.023451006039977074,0.7171125411987305,0.09031292796134949,0.8882032632827759,0.030951905995607376,0.6349101662635803,0.06780755519866943
ABBY,ABBY_011,2023,10,16,NEON_DP3.30026.002_bidirectional,0.8855227828025818,0.04074652120471001,0.669177234172821,0.16267278790473938,0.8625370264053345,0.07120008021593094,0.6022566556930542,0.1300727128982544
ABBY,ABBY_013,2023,10,16,NEON_DP3.30026.002_bidirectional,0.8737878203392029,0.03538965806365013,0.6772473454475403,0.04435114562511444,0.8345994353294373,0.046796269714832306,0.6177941560745239,0.03519115597009659
ABBY,ABBY_023,2023,10,16,NEON_DP3.30026.002_bidirectional,0.9066141247749329,0.007052205968648195,0.6683042645454407,0.07089563459157944,0.8924121260643005,0.012729822658002377,0.6054348945617676,0.055081628262996674
ABBY,ABBY_010,2023,10,16,NEON_DP3.30026.002_bidirectional,0.8898881077766418,0.009044582024216652,0.5412501692771912,0.047619372606277466,0.8798601627349854,0.01517423801124096,0.5042016506195068,0.038063764572143555
