plotID,s2_dist,s2_dist_year,s2_dist_mag,s2_recovery,nbr_trend
SCBI_023,0,0,-0.05,-0.0007,-0.0037
SCBI_033,1,2023,-0.135,0.0746,-0.0154
SCBI_034,1,2023,-0.108,0.0736,-0.0088
SCBI_035,1,2023,-0.221,0.1337,-0.021
SCBI_038,1,2023,-0.099,0.0497,-0.0101
SCBI_045,0,0,-0.019,,-0.0049
SCBI_046,0,0,-0.031,,-0.0037
SCBI_047,0,0,-0.05,,-0.0038
SCBI_048,0,0,-0.036,-0.0027,-0.0047
SCBI_049,0,0,-0.027,-0.0007,-0.0031
SCBI_050,0,0,-0.022,,-0.002
SCBI_051,0,0,-0.047,,-0.0026
SCBI_052,0,0,-0.035,,-0.0062
SCBI_053,0,0,-0.034,-0.0031,-0.0048
SCBI_054,0,0,-0.03,,-0.0045
SCBI_055,0,0,-0.042,,-0.0021
SCBI_056,0,0,-0.041,,-0.005
SCBI_057,0,0,-0.045,,-0.004
SCBI_058,0,0,-0.032,,-0.0063
SCBI_061,0,0,-0.017,,-0.0011
SCBI_062,0,0,-0.022,,-0.0015
SCBI_063,0,0,-0.058,,-0.0048
SCBI_064,0,0,-0.031,,-0.0016
SCBI_066,0,0,-0.047,,-0.0025
SCBI_067,0,0,-0.055,,-0.0042
SCBI_071,0,0,-0.047,,-0.0035
SERC_001,0,0,-0.034,,0.0008
SERC_002,0,0,-0.021,,0.001
SERC_003,0,0,-0.014,,0.0031
SERC_004,0,0,-0.043,,-0.0018
SERC_005,0,0,-0.02,,0.0025
SERC_006,0,0,-0.023,0.0029,0.0015
SERC_007,1,2024,-0.604,,-0.0099
SERC_008,1,2024,-0.62,,-0.0207
SERC_009,0,0,-0.026,,0.0014
SERC_010,0,0,-0.02,0.0015,0.001
SERC_011,0,0,-0.025,-0.0001,0.0019
SERC_012,0,0,-0.033,,0.0009
SERC_013,0,0,-0.032,0.004,0.0025
SERC_014,0,0,-0.031,,0.0016
SERC_016,0,0,-0.022,,0.0032
SERC_017,0,0,-0.014,,0.0011
SERC_018,1,2024,-0.598,,-0.0084
SERC_019,0,0,-0.011,,0.0015
SERC_021,0,0,-0.02,,0.0012
SERC_022,0,0,-0.018,0.0021,0.0016
SERC_043,0,0,-0.025,,0.0018
SERC_044,0,0,-0.012,0.0043,0.0028
SERC_045,0,0,-0.026,0.0045,0.0019
SERC_046,0,0,-0.011,0.0021,0.003
SERC_047,0,0,-0.026,,0.0019
SERC_048,0,0,-0.024,0.0061,0.0037
SERC_049,0,0,-0.046,0.0087,-0.0001
SERC_050,0,0,-0.05,0.0072,0.0021
SERC_051,0,0,-0.046,0.0113,0.002
SERC_052,0,0,-0.018,0.0026,0.0013
SERC_053,0,0,-0.039,,-0.0036
SERC_054,0,0,-0.026,,0.0008
SERC_055,0,0,-0.026,,0.0026
SERC_056,0,0,-0.03,0.0019,-0.0023
SERC_057,0,0,-0.032,0.006,0.0013
SERC_058,0,0,-0.025,0.0043,0.0032
SERC_059,0,0,-0.025,,0.003
SERC_060,0,0,-0.025,0.0014,-0.0004
SERC_061,1,2022,-0.531,0.0776,-0.0569
SERC_062,0,0,-0.049,0.0077,0.0011
SERC_067,0,0,-0.031,0.0019,-0.0005
SERC_073,0,0,-0.03,0.0048,0.0013
SOAP_001,0,0,-0.063,0.0237,0.0041
SOAP_002,1,2021,-0.29,0.0354,-0.0207
SOAP_003,0,0,-0.063,0.0351,0.0145
SOAP_004,0,0,-0.052,0.0145,0.0119
SOAP_006,1,2023,-0.163,0.0523,0.0058
SOAP_007,1,2021,-0.092,0.031,-0.0001
SOAP_008,1,2021,-0.421,0.0624,-0.0102
SOAP_009,0,0,-0.053,0.0161,0.0027
SOAP_010,0,0,-0.023,0.009,0.0033
SOAP_011,0,0,-0.06,0.0245,0.0072
SOAP_012,1,2017,-0.203,0.0292,0.0077
SOAP_013,1,2021,-0.285,0.0599,-0.0016
SOAP_015,1,2017,-0.108,0.0194,0.0135
SOAP_016,1,2017,-0.544,0.0226,-0.0067
SOAP_017,1,2017,-0.104,0.0105,0.0035
SOAP_018,1,2021,-0.254,0.0593,-0.0053
SOAP_019,1,2017,-0.113,0.0082,-0.0
