plotID,siteID,n_good_plots,lcbd_bray_cov,lcbd_turnover_cov,lcbd_nestedness_cov
HARV_015,HARV,35,0.8104375199894609,0.5416666666666666,0.10116239969181146
HARV_016,HARV,35,0.673568933489179,0.3187675070028011,0.11024178627984856
HARV_017,HARV,35,0.6275065182594148,0.2985294117647059,0.11230664760076522
HARV_020,HARV,35,0.8800142510628652,0.6534313725490196,0.056630950748597794
HARV_021,HARV,35,0.7024302353964009,0.2549019607843137,0.2527913263207381
HARV_022,HARV,35,0.7944985422094403,0.38627450980392153,0.10310963546257662
HARV_023,HARV,35,0.8536799544917146,0.36764705882352944,0.31273873185637896
HARV_025,HARV,35,0.7006571101066297,0.35843837535014,0.10823915127548345
HARV_027,HARV,35,0.7747829396844863,0.5700980392156862,0.07174443203854969
HARV_033,HARV,35,0.5704777614709566,0.2446778711484594,0.13665034024030562
HARV_034,HARV,35,0.7140114116556913,0.3931372549019608,0.08626381788146492
HARV_035,HARV,35,0.7405371012017583,0.4272759103641457,0.09468075657522024
HARV_036,HARV,35,0.6200990484366106,0.3934173669467787,0.09952224822467035
HARV_037,HARV,35,0.63134779250037,0.37549019607843137,0.10130474101062335
HARV_038,HARV,35,0.6238671230679342,0.3688375350140056,0.10649674239639637
HARV_039,HARV,35,0.674116769892585,0.5073529411764706,0.06495775466363701
HARV_040,HARV,35,0.6406003294538982,0.3848039215686274,0.09224819298348709
HARV_042,HARV,35,0.6588110319953275,0.3480392156862745,0.1449016669604905
HARV_043,HARV,35,0.580082369182187,0.24971988795518213,0.11384902102895182
HARV_044,HARV,35,0.684420730368757,0.36708683473389353,0.10726087157748056
HARV_045,HARV,35,0.5800453607049141,0.23431372549019605,0.1127294274353098
HARV_046,HARV,35,0.7872873584780627,0.5341036414565827,0.06730184943852764
HARV_047,HARV,35,0.6992758778135016,0.413515406162465,0.1528692250100008
HARV_048,HARV,35,0.6247508276498123,0.2746498599439776,0.13055689984755728
HARV_049,HARV,35,0.6624060849992514,0.3432773109243698,0.0914604618756868
HARV_050,HARV,35,0.5916460005817984,0.24814425770308124,0.13927739407843215
HARV_051,HARV,35,0.5877044150073124,0.21777544351073766,0.17333077139578687
HARV_052,HARV,35,0.6906437976950567,0.44887955182072825,0.06691885104514862
JERC_002,JERC,21,0.4417750948238752,0.15,0.13999999999999999
JERC_005,JERC,21,0.46027031181379013,0.15,0.13999999999999999
JERC_007,JERC,21,1.0,1.0,0.0
JERC_011,JERC,21,0.46027031181379013,0.15,0.13999999999999999
JERC_048,JERC,21,0.42131729533576323,0.15,0.13999999999999999
JERC_049,JERC,21,0.5911256854940076,0.2,0.26556818181818176
JERC_051,JERC,21,0.5770588291770019,0.25,0.24465909090909088
JERC_053,JERC,21,0.6285092576148912,0.15,0.13999999999999999
JERC_054,JERC,21,0.9782817071763766,0.8472222222222221,0.1127831059960216
JERC_055,JERC,21,0.6281708731136648,0.15,0.13999999999999999
JERC_056,JERC,21,0.9967741935483871,0.95,0.043333333333333335
JERC_057,JERC,21,0.942907632317725,0.23888888888888887,0.5710518225735619
JERC_058,JERC,21,0.5197485847485848,0.15,0.13999999999999999
JERC_059,JERC,21,0.42351613910053115,0.15,0.13999999999999999
JERC_060,JERC,21,0.5116953083932366,0.29166666666666663,0.32333333333333336
JERC_061,JERC,21,0.4736970032475126,0.25,0.24465909090909088
JERC_062,JERC,21,0.4979564211691831,0.2333333333333333,0.3474509803921569
JERC_063,JERC,21,0.46027031181379013,0.15,0.13999999999999999
JERC_064,JERC,21,0.42351613910053115,0.15,0.13999999999999999
JERC_065,JERC,21,0.42131729533576323,0.15,0.13999999999999999
JERC_066,JERC,21,0.5197485847485848,0.15,0.13999999999999999
MLBS_001,MLBS,31,0.6815094405434288,0.4283333333333334,0.09121378621378622
MLBS_002,MLBS,31,0.6509169292188093,0.31666666666666654,0.11095016095016093
MLBS_003,MLBS,31,0.6865307796405785,0.5416666666666666,0.07332278832278832
MLBS_005,MLBS,31,0.6067741629827953,0.3977777777777779,0.07103239897357543
MLBS_006,MLBS,31,0.7995736341060109,0.5083333333333333,0.12718762718762716
MLBS_007,MLBS,31,0.6798750469663051,0.325,0.1706140156140156
MLBS_008,MLBS,31,0.8833428855091,0.7433333333333335,0.04184186184186182
MLBS_009,MLBS,31,0.5842303647266658,0.35777777777777775,0.07886613386613386
MLBS_010,MLBS,31,0.6303990198352365,0.4166666666666668,0.06806536600654249
MLBS_011,MLBS,31,0.5531227357141323,0.37499999999999994,0.10457116957116956
MLBS_012,MLBS,31,0.5899435314040065,0.31666666666666654,0.11095016095016096
MLBS_013,MLBS,31,0.6267830871411569,0.4421428571428572,0.06784573269867389
MLBS_016,MLBS,31,0.6825157658538169,0.4194444444444445,0.06403744947862595
MLBS_017,MLBS,31,0.6721026902602727,0.5616666666666668,0.06785381285381285
MLBS_018,MLBS,31,0.703304739259702,0.5611904761904761,0.05149417575888166
MLBS_019,MLBS,31,0.8094462352885119,0.6916666666666667,0.08588633588633593
MLBS_061,MLBS,31,0.5304508041692497,0.2951984126984126,0.09043656778950895
MLBS_062,MLBS,31,0.641690243510678,0.41888888888888887,0.07571151071151073
MLBS_063,MLBS,31,0.5751944835162599,0.2802380952380951,0.15451107343522208
MLBS_064,MLBS,31,0.5578291843975034,0.2990873015873015,0.11290633887383113
MLBS_065,MLBS,31,0.4871063260968905,0.28822751322751317,0.11628675761802695
MLBS_066,MLBS,31,0.6680591732140148,0.46222222222222226,0.06962037962037962
MLBS_067,MLBS,31,0.586949868927053,0.31543650793650796,0.09223550958845077
MLBS_068,MLBS,31,0.5597457166071996,0.2766666666666666,0.09303287126816538
MLBS_069,MLBS,31,0.5569193771535423,0.26222222222222225,0.09282467532467534
MLBS_070,MLBS,31,0.57208257012811,0.28101851851851845,0.11814831510651944
MLBS_071,MLBS,31,0.6313706248784413,0.28670634920634913,0.11964709410529845
