plotID,insitu_mortdmg_max,insitu_peak_year,insitu_spike,insitu_burn,insitu_insect,insitu_dead_max,insitu_dist
JERC_009,0.654320987654321,2021,0.0,0.0,0.012345679012345678,0.5925925925925926,1
JERC_010,0.40816326530612246,2021,0.0,0.0,0.0,0.12244897959183673,1
JERC_011,1.0,2021,0.0,0.0,0.0,0.08,1
JERC_016,0.7096774193548386,2021,0.0,0.0,0.0,0.04838709677419355,1
JERC_047,0.5,2019,0.4431818181818182,0.0,0.022988505747126436,0.2647058823529412,1
JERC_048,0.7407407407407407,2015,0.6527407407407407,0.0,0.21311475409836064,0.6125,1
JERC_049,0.8040816326530613,2023,0.7555967841682129,0.0,0.19753086419753085,0.689795918367347,1
JERC_050,0.7636363636363637,2024,0.5312039312039312,0.0,0.008620689655172414,0.5363636363636364,1
JERC_051,0.7530864197530864,2022,0.7392933163048105,0.0,0.024691358024691357,0.5,1
JERC_052,0.7903225806451613,2015,0.7783465327409697,0.0,0.043859649122807015,0.5403225806451613,1
JERC_053,0.7592592592592593,2015,0.7354497354497355,0.0,0.05319148936170213,0.46502057613168724,1
JERC_054,0.35802469135802467,2019,0.21823974512146554,0.0,0.034482758620689655,0.16091954022988506,0
JERC_055,0.9264705882352942,2015,0.5281655034895314,0.0,0.2796610169491525,0.6595744680851063,1
JERC_056,0.8961038961038961,2015,0.87871259175607,0.0,0.09740259740259741,0.5636363636363636,1
JERC_057,0.4419889502762431,2022,0.377472821243985,0.0,0.06077348066298342,0.14917127071823205,1
JERC_058,0.7333333333333333,2015,0.7146417445482866,0.0,0.0,0.6333333333333333,1
JERC_059,0.4411764705882353,2016,0.37450980392156863,0.0,0.0,0.4375,1
JERC_060,0.3125,2018,0.3125,0.0,0.010416666666666666,0.30357142857142855,1
JERC_061,0.578125,2015,0.53125,0.0,0.019801980198019802,0.46534653465346537,1
JERC_062,0.5932203389830508,2015,0.5709981167608286,0.0,0.01694915254237288,0.4111111111111111,1
JERC_063,0.6486486486486487,2015,0.5322850122850123,0.0,0.09090909090909091,0.5173210161662818,1
JERC_064,0.4759615384615385,2018,0.05759419152276296,0.0,0.07142857142857142,0.46634615384615385,1
JERC_065,0.502283105022831,2016,0.49197382667231554,0.0,0.11494252873563218,0.4885844748858447,1
JERC_066,0.4867924528301887,2018,0.4467924528301887,0.0,0.017142857142857144,0.4830188679245283,1
MLBS_001,0.5,2024,0.2288135593220339,0.0,0.09090909090909091,0.2727272727272727,1
MLBS_002,0.4444444444444444,2024,0.2483660130718954,0.0,0.1111111111111111,0.26666666666666666,1
MLBS_003,0.576923076923077,2024,0.27389277389277394,0.0,0.06060606060606061,0.38461538461538464,1
MLBS_004,0.21951219512195125,2024,0.0736788617886179,0.0,0.0,0.17073170731707318,0
MLBS_005,0.46153846153846156,2024,0.21911421911421913,0.0,0.046875,0.21212121212121213,1
MLBS_006,0.3829787234042553,2024,0.1829787234042553,0.0,0.0,0.2765957446808511,0
MLBS_007,0.5487804878048781,2024,0.49064095292115717,0.0,0.0,0.3780487804878049,1
MLBS_008,0.23404255319148937,2018,0.07848699763593381,0.0,0.0,0.13333333333333333,0
MLBS_009,0.39344262295081966,2018,0.06585641605426795,0.0,0.18032786885245902,0.29310344827586204,0
MLBS_010,0.7444444444444445,2018,0.4234567901234568,0.0,0.3,0.3,1
MLBS_011,0.4722222222222222,2018,0.2609546165884194,0.0,0.19444444444444445,0.2222222222222222,1
MLBS_012,0.34736842105263155,2018,0.09473684210526312,0.0,0.12631578947368421,0.24210526315789474,0
MLBS_013,0.14545454545454545,2024,0.038658428949691084,0.0,0.0,0.12,0
