plotID,sev_spec,spec_year,hansen_loss,hansen_lossyear,hansen_loss_frac,fire,fire_year,sev_loss,d_spec,d_loss,d_fire,disturbed,dist_year,recency,severity
BLAN_020,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
BLAN_031,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
BLAN_032,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
BLAN_033,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
BLAN_034,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
BLAN_035,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
BLAN_036,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
BLAN_037,0.5129948113867615,2017.0,0,0,0.0,0,0,0.0,1,0,0,1,2017.0,8.0,0.5129948113867615
BLAN_038,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
BLAN_039,0.6226387516653631,2017.0,0,0,0.0,0,0,0.0,1,0,0,1,2017.0,8.0,0.6226387516653631
BLAN_040,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
BLAN_041,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
BLAN_042,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
BLAN_043,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
BLAN_044,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
BLAN_045,0.594993925754382,2017.0,0,0,0.0,0,0,0.0,1,0,0,1,2017.0,8.0,0.594993925754382
BLAN_046,0.5073580501791909,2017.0,0,0,0.0,0,0,0.0,1,0,0,1,2017.0,8.0,0.5073580501791909
BLAN_047,0.12168506180139327,2019.0,0,0,0.0,0,0,0.0,1,0,0,1,2019.0,6.0,0.12168506180139327
BLAN_048,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
BLAN_049,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
BLAN_050,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
BLAN_051,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
BLAN_052,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
BLAN_053,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
BLAN_054,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
BLAN_055,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
BLAN_056,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
BLAN_057,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
BLAN_059,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
BLAN_060,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
BLAN_063,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
BLAN_064,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
BLAN_068,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
GRSM_001,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
GRSM_002,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
GRSM_003,0.0,,0,0,0.0,1,2016,0.0,0,0,1,1,2016.0,9.0,0.0
GRSM_004,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
GRSM_005,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
GRSM_006,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
GRSM_007,0.5462945423409081,2017.0,1,2017,0.5,1,2016,0.5,1,1,1,1,2017.0,8.0,1.0462945423409082
GRSM_008,0.0,,0,0,0.0,1,2016,0.0,0,0,1,1,2016.0,9.0,0.0
GRSM_009,0.0,,0,0,0.0,1,2016,0.0,0,0,1,1,2016.0,9.0,0.0
GRSM_010,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
GRSM_011,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
GRSM_012,0.0,,0,0,0.0,1,2016,0.0,0,0,1,1,2016.0,9.0,0.0
GRSM_013,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
GRSM_014,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
GRSM_015,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
GRSM_016,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
GRSM_017,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
GRSM_018,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
GRSM_019,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
GRSM_025,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
GRSM_047,0.37016225440803235,2017.0,1,2017,1.0,1,2016,1.0,1,1,1,1,2017.0,8.0,1.3701622544080323
GRSM_048,0.0,,0,0,0.0,1,2016,0.0,0,0,1,1,2016.0,9.0,0.0
GRSM_049,0.0,,1,2017,0.5,1,2016,0.5,0,1,1,1,2017.0,8.0,0.5
GRSM_050,0.0,,0,0,0.0,1,2016,0.0,0,0,1,1,2016.0,9.0,0.0
GRSM_051,0.4865651114049957,2017.0,1,2017,1.0,1,2016,1.0,1,1,1,1,2017.0,8.0,1.4865651114049956
GRSM_052,0.22788748712912904,2017.0,1,2017,0.5,1,2016,0.5,1,1,1,1,2017.0,8.0,0.727887487129129
GRSM_053,0.0,,0,0,0.0,1,2016,0.0,0,0,1,1,2016.0,9.0,0.0
GRSM_054,0.0,,0,0,0.0,1,2016,0.0,0,0,1,1,2016.0,9.0,0.0
GRSM_055,0.0,,0,0,0.0,1,2016,0.0,0,0,1,1,2016.0,9.0,0.0
GRSM_056,0.0,,1,2017,0.25,1,2016,0.25,0,1,1,1,2017.0,8.0,0.25
GRSM_057,0.0,,0,0,0.0,1,2016,0.0,0,0,1,1,2016.0,9.0,0.0
GRSM_058,0.0,,0,0,0.0,1,2016,0.0,0,0,1,1,2016.0,9.0,0.0
GRSM_059,0.18202282310146656,2017.0,1,2017,0.25,1,2016,0.25,1,1,1,1,2017.0,8.0,0.43202282310146656
GRSM_060,0.0,,0,0,0.0,1,2016,0.0,0,0,1,1,2016.0,9.0,0.0
GRSM_061,0.0,,0,0,0.0,1,2016,0.0,0,0,1,1,2016.0,9.0,0.0
GRSM_062,0.6823421222069125,2017.0,1,2017,1.0,1,2016,1.0,1,1,1,1,2017.0,8.0,1.6823421222069124
GRSM_063,0.0,,0,0,0.0,1,2016,0.0,0,0,1,1,2016.0,9.0,0.0
GRSM_064,0.0,,0,0,0.0,1,2016,0.0,0,0,1,1,2016.0,9.0,0.0
GRSM_065,0.0,,0,0,0.0,1,2016,0.0,0,0,1,1,2016.0,9.0,0.0
GRSM_066,0.0,,0,0,0.0,1,2016,0.0,0,0,1,1,2016.0,9.0,0.0
HARV_001,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
HARV_002,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
HARV_004,0.1883953831322015,2017.0,0,0,0.0,0,0,0.0,1,0,0,1,2017.0,8.0,0.1883953831322015
HARV_005,0.17709391093567806,2017.0,0,0,0.0,0,0,0.0,1,0,0,1,2017.0,8.0,0.17709391093567806
HARV_006,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
HARV_008,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
HARV_010,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
HARV_011,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
HARV_012,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
HARV_013,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
HARV_014,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
HARV_015,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
HARV_016,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
HARV_017,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
HARV_020,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
HARV_021,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
HARV_022,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
HARV_023,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
HARV_024,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
HARV_025,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
HARV_026,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
HARV_027,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
HARV_033,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
