plotID,year,n,frac_dead,frac_dmg,frac_burn,frac_insect,frac_dis,frac_mort_dmg
ABBY_076,2016,145,0.020689655172413793,0.020689655172413793,0.0,0.0,0.0,0.041379310344827586
ABBY_076,2017,220,0.013636363636363636,0.12272727272727273,0.0,0.0,0.004545454545454545,0.13636363636363635
ABBY_076,2018,59,0.03389830508474576,0.05084745762711865,0.0,0.0,0.0,0.0847457627118644
ABBY_076,2021,89,0.02247191011235955,0.011235955056179775,0.0,0.0,0.0,0.033707865168539325
ABBY_077,2024,106,0.03773584905660377,0.09433962264150944,0.0,0.0,0.0,0.1320754716981132
BART_001,2016,74,0.12162162162162163,0.10810810810810811,0.0,0.0,0.05405405405405406,0.22972972972972974
BART_001,2021,70,0.17142857142857143,0.15714285714285714,0.0,0.0,0.05714285714285714,0.32857142857142857
BART_002,2016,166,0.0963855421686747,0.6445783132530121,0.0,0.0,0.6144578313253012,0.7409638554216867
BART_002,2021,76,0.07894736842105263,0.631578947368421,0.0,0.07894736842105263,0.39473684210526316,0.7105263157894737
BART_003,2016,86,0.32558139534883723,0.20930232558139536,0.0,0.0,0.05813953488372093,0.5348837209302326
BART_003,2021,60,0.15,0.21666666666666667,0.0,0.05,0.06666666666666667,0.3666666666666667
BART_004,2016,75,0.09333333333333334,0.4533333333333333,0.0,0.0,0.41333333333333333,0.5466666666666666
BART_004,2021,51,0.09803921568627451,0.47058823529411764,0.0,0.0,0.29411764705882354,0.5686274509803921
BART_005,2016,109,0.11009174311926606,0.06422018348623854,0.0,0.0,0.01834862385321101,0.1743119266055046
BART_005,2021,101,0.0891089108910891,0.19801980198019803,0.0,0.0,0.019801980198019802,0.28712871287128716
BART_006,2016,100,0.11,0.78,0.0,0.0,0.73,0.89
BART_006,2021,94,0.05319148936170213,0.8085106382978723,0.0,0.0,0.6063829787234043,0.8617021276595744
BART_007,2016,60,0.03333333333333333,0.18333333333333332,0.0,0.0,0.15,0.21666666666666665
BART_007,2021,76,0.05263157894736842,0.13157894736842105,0.0,0.0,0.10526315789473684,0.18421052631578946
BART_010,2016,155,0.23870967741935484,0.38064516129032255,0.0,0.0,0.32903225806451614,0.6193548387096774
BART_010,2021,121,0.15702479338842976,0.4380165289256198,0.0,0.008264462809917356,0.36363636363636365,0.5950413223140496
BART_011,2016,81,0.04938271604938271,0.19753086419753085,0.0,0.0,0.14814814814814814,0.24691358024691357
BART_011,2021,76,0.05263157894736842,0.25,0.0,0.0,0.14473684210526316,0.3026315789473684
BART_012,2016,70,0.08571428571428572,0.8428571428571429,0.0,0.0,0.7428571428571429,0.9285714285714286
BART_012,2021,66,0.09090909090909091,0.8333333333333334,0.0,0.0,0.5909090909090909,0.9242424242424243
BART_013,2016,120,0.125,0.4166666666666667,0.0,0.0,0.4083333333333333,0.5416666666666667
BART_013,2021,93,0.07526881720430108,0.5591397849462365,0.0,0.0,0.4946236559139785,0.6344086021505376
BART_015,2016,88,0.11363636363636363,0.45454545454545453,0.0,0.0,0.38636363636363635,0.5681818181818181
BART_015,2021,80,0.1125,0.45,0.0,0.0,0.3875,0.5625
BART_016,2016,81,0.16049382716049382,0.25925925925925924,0.0,0.0,0.19753086419753085,0.41975308641975306
BART_016,2021,60,0.08333333333333333,0.4,0.0,0.0,0.23333333333333334,0.48333333333333334
BART_018,2016,92,0.11956521739130435,0.15217391304347827,0.0,0.0,0.09782608695652174,0.2717391304347826
BART_018,2021,84,0.14285714285714285,0.14285714285714285,0.0,0.0,0.05952380952380952,0.2857142857142857
BART_019,2021,72,0.1111111111111111,0.3194444444444444,0.0,0.0,0.16666666666666666,0.4305555555555555
BART_023,2016,101,0.09900990099009901,0.2376237623762376,0.0,0.0,0.19801980198019803,0.3366336633663366
BART_023,2021,79,0.0759493670886076,0.24050632911392406,0.0,0.0,0.189873417721519,0.31645569620253167
BART_024,2016,59,0.13559322033898305,0.1016949152542373,0.0,0.0,0.0847457627118644,0.23728813559322035
BART_024,2021,57,0.10526315789473684,0.19298245614035087,0.0,0.0,0.05263157894736842,0.2982456140350877
BART_025,2016,78,0.19230769230769232,0.15384615384615385,0.0,0.0,0.1282051282051282,0.34615384615384615
BART_025,2021,76,0.19736842105263158,0.2631578947368421,0.0,0.0,0.10526315789473684,0.4605263157894737
BART_026,2016,98,0.030612244897959183,0.19387755102040816,0.0,0.0,0.02040816326530612,0.22448979591836735
BART_026,2021,95,0.021052631578947368,0.22105263157894736,0.0,0.0,0.021052631578947368,0.24210526315789474
BART_027,2016,58,0.08620689655172414,0.08620689655172414,0.0,0.0,0.034482758620689655,0.1724137931034483
BART_027,2021,68,0.058823529411764705,0.17647058823529413,0.0,0.0,0.058823529411764705,0.23529411764705882
BART_028,2016,59,0.2033898305084746,0.2033898305084746,0.0,0.0,0.03389830508474576,0.4067796610169492
BART_032,2015,116,0.13793103448275862,0.1724137931034483,0.0,0.0,0.1724137931034483,0.3103448275862069
BART_032,2016,124,0.16129032258064516,0.5161290322580645,0.0,0.0,0.46774193548387094,0.6774193548387096
BART_032,2017,135,0.15555555555555556,0.4888888888888889,0.0,0.0,0.4444444444444444,0.6444444444444444
