plotID,dhi_nyears,dhi_cum_mean,dhi_cum_trend,dhi_min_mean,dhi_min_trend,dhi_var_mean,dhi_var_trend
JERC_012,10,0.34212908874458875,-0.02240728164764953,0.153925,-0.011009393939395398,0.5093696828630289,0.011499244534961626
JERC_013,10,0.5745099404761904,-0.03598461399712336,0.43733500000000003,-0.02309787878788417,0.14037644041294628,-0.0022677255208488198
JERC_014,10,0.4392497537878787,-0.02222409435262281,0.24426,-0.014892727272731006,0.3682457044721312,0.0051065070959925045
JERC_015,10,0.5806018777056277,-0.0338358451397177,0.432895,-0.012051212121221686,0.14018031651961965,-0.0038076959226976442
JERC_016,10,0.6524678409090909,-0.0390354155188329,0.500215,-0.02319969696970348,0.14129764897369676,0.001779465272701563
JERC_019,10,0.5858094047619049,-0.04041075429621752,0.39232500000000003,-0.03530515151515825,0.223202762976512,0.015485152469412178
JERC_021,10,0.5880317613636363,-0.038554183884306356,0.45087,-0.024824848484855166,0.14046178664431047,0.0028711216181187414
JERC_022,10,0.5527970265151516,-0.03611025137741924,0.4557650000000001,-0.033591212121220015,0.11970552280917082,0.006829197979644191
JERC_028,10,0.598597196969697,-0.036207213039494125,0.38034500000000004,-0.029325757575763528,0.2626994249210287,0.009610151476274314
JERC_029,10,0.5690166396103896,-0.03370621113735616,0.37337,-0.027579393939397956,0.1950386146489018,0.008047655455289454
JERC_030,10,0.5985572132034632,-0.04041604650401011,0.450295,-0.030939696969703646,0.15906250070485198,0.006013307200894887
JERC_031,10,0.5976969696969697,-0.032268034894407605,0.448565,-0.003895454545461296,0.12745591635132342,-0.009272474222962597
JERC_033,10,0.558141268939394,-0.03196002180900668,0.4103,-0.027803636363641224,0.1565105840234922,0.0068402300198965585
JERC_034,10,0.5703315638528139,-0.03939026990686874,0.385365,-0.02851303030303442,0.1940833571550397,0.003996403219876292
JERC_035,10,0.5413228733766233,-0.033703252328487934,0.36160000000000003,-0.024712121212127142,0.2464329260209021,0.009478203194985182
JERC_036,10,0.5801053354978354,-0.03320951265906474,0.40523,-0.023405454545457612,0.1739439191850325,0.0059734511726558396
JERC_038,10,0.6634910416666667,-0.04231834595960462,0.5499,-0.03142909090909421,0.09603990586716449,0.00336076166486662
JERC_040,10,0.5549354924242424,-0.04314198117539905,0.46012000000000003,-0.035526060606065876,0.10688985558582775,0.005080217888152291
JERC_041,10,0.6485646645021645,-0.032874247671529334,0.45124,-0.01388848484849458,0.18068357674450963,0.002119260464279512
JERC_042,10,0.5698983901515151,-0.038965214646473484,0.417915,-0.03179181818182496,0.1686127482060979,0.00915480838967262
JERC_044,10,0.5649217424242423,-0.03456122589532461,0.41625999999999996,-0.030724242424247695,0.16814679938488936,0.00990323879561517
JERC_047,10,0.592447196969697,-0.03974676308540785,0.47028500000000006,-0.03355848484848961,0.12209758197140788,0.007737733675095292
JERC_048,10,0.5636835497835497,-0.034621770956324446,0.440945,-0.027883333333339862,0.1335119797640359,0.0018957143205537348
JERC_049,10,0.5750754545454545,-0.03490912764004534,0.45370499999999997,-0.015576666666677414,0.12317564346333751,-0.005006929633568947
JERC_050,10,0.6435997159090909,-0.04017835743802527,0.51388,-0.03603272727273327,0.11641162286728053,0.007468783890032156
JERC_051,10,0.597618961038961,-0.03820983274302315,0.47995,-0.028286666666671158,0.11923486937998895,0.0042157950183891214
JERC_052,10,0.5549577651515152,-0.03750888659321307,0.42607999999999996,-0.03661878787879502,0.16710497016310327,0.011921479018144979
JERC_053,10,0.5889137662337662,-0.03754422143513869,0.46337,-0.031053939393943533,0.12727523827422102,0.006305872114463411
JERC_054,10,0.6558610037878788,-0.04351177341598705,0.5158750000000001,-0.04094393939394591,0.13092939778781396,0.010205054651934864
JERC_055,10,0.542538731060606,-0.03573217745638943,0.38589,-0.030415151515156603,0.19177509267486792,0.008031885487295162
JERC_056,10,0.5507180871212122,-0.03511217056933648,0.37619500000000006,-0.0303439393939453,0.2162494851001205,0.007785459359000491
JERC_057,10,0.6408563798701299,-0.039783066706030025,0.48348,-0.03426363636364228,0.14079804926941616,0.006716469579968606
